2024-01-15 19:20:09,402 [INFO] [tic_tac_toe.tic_tac_toe_interactive] raul plays with O and jorge plays with X
2024-01-15 19:20:09,403 [INFO] [tic_tac_toe.tic_tac_toe_interactive] jorge starts

2024-01-15 19:20:09,501 [DEBUG] [matplotlib.pyplot] Loaded backend qtagg version 5.15.7.
2024-01-15 19:20:09,690 [DEBUG] [matplotlib.font_manager] findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2024-01-15 19:20:09,690 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/home/raul/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-01-15 19:20:09,691 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/home/raul/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
2024-01-15 19:20:09,691 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/home/raul/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-01-15 19:20:09,691 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/home/raul/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-01-15 19:20:09,691 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/home/raul/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-01-15 19:20:09,691 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/home/raul/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-01-15 19:20:09,691 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/home/raul/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-01-15 19:20:09,691 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/home/raul/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-01-15 19:20:09,691 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/home/raul/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-01-15 19:20:09,692 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/home/raul/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-01-15 19:20:09,692 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/home/raul/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
